# skip: est, cours, sort, a, mets	the top-3,000 entry with this spelling is an unrelated word
au printemps	in spring
nuage	cloud
sortir	go out to, to get out, sneak
vent	wind
mouillé	wet
lunettes de soleil	sunglasses
ciel	sky
degré	level, degree, grades
temps	weather, time, times
dehors	outside
ça marche	that works
ou pas	or not
jeudi	Thursday, on Thursday
vin	wine, vin
vers	around
alors	so
sushi	sushi
commander	to order, order, ordering
finit	finishes, is finishing, ends
et demie	and a half
seconde	tenth grade, second, ii
choisir	to choose, choose, choosing
et quart	and a quarter
libre	free
finir	let's, finish, to finish
allô	hello
sous	under
quoi de neuf	what's up
téléphone	telephone, phone, call
sonner	ring, to ring
quelques	some
écrit	written, is writing, writes
savez	know, know how to
sait	knows, knows how, know
écrire	writing, write
lire	read, reading, to read
réponse	answer
traduire	to translate
sais	know, can, know how
phrase	sentence
exercice	exercise, year's
peuvent	can, may
dictionnaire	dictionary
répéter	rehearsing, to practice, repeat
mot	note, word
note	write down, grade, is writing down
aller	let's, wasn't, to go
examen	quiz, exam, test
une pause	break
sûrement	surely
toilettes	restroom
absent	away, absent, absentees
problème	problem
veulent	want
assistante	assistant
assistant	assistant, attendant's
avoir	to have
peut	can, may
chaque	every
pouvez	can, may
prendre	to take
ordinateur	computer
utiliser	using, to use, use
nouvel	new
employée	hired, employed, used
jeune	young, junior's
employé	hired, employee, employee's
du soir	in the evening
doivent	have to, must, supposed
dorment	sleep, are sleeping
client	client, customer, customer's
couloir	hallway, hall, aisle
du matin	in the morning
tôt	early
avant	before
doit	needs to, has to, must
partir	leave for, go, leave
ok	OK
appelle	am calling, is calling, calls
appeler	to call, call, calling
wifi	wifi
de l'après-midi	in the afternoon
nuit	night
devez	have to, must, need to
dois	have got to, owe, have to
personne	nobody, anyone, person
réserver	to book, book
angleterre	England
parce qu'	because
festival	festival
botte	boot
il pleut	is raining
écris	written, writing, are writing
chanson	song, song's
instrument	instrument
artiste	performer, artist, actor's
rock	rock
batterie	battery, drums, camera's
guitare	guitar
tout le temps	all the time
violon	violin
piano	piano
jazz	jazz
préféré	favorite
musicien	musician, musician's
écouter	listened, let's, to listen to
musicienne	musician, musician's
d'habitude	usually
maillot de bain	swimsuit, bathing suit
moto	motorcycle, motorcycle's
du yoga	yoga
du sport	some sports
fois	time
faire	to do
mois	month
font	is, makes, are doing
à pied	on foot
salle de sport	gym
